Date,Anomaly_Error
5,0.10081316530704498
6,0.10182023793458939
7,0.11233273893594742
8,0.12828050553798676
9,0.15018731355667114
10,0.1665467768907547
11,0.16495470702648163
12,0.15142278373241425
13,0.12519791722297668
14,0.12603218853473663
15,0.11129970848560333
17,0.10804061591625214
18,0.110396608710289
19,0.11946695297956467
20,0.1350056529045105
21,0.15804405510425568
22,0.17419591546058655
23,0.17798897624015808
24,0.8215457739657311
25,0.4809501783481335
26,0.8360021114349365
27,0.3569076320834379
28,0.6682741145205161
