OCAK	27.01.2024		 0   	 1 	1,00	1,0540511
ŞUBAT	25.02.2023		 1 	42	41,00	43,4994300
MART	29.03.2024		 42 	 100 	58,00	61,1278396
NİSAN	24.04.2024		 100 	 200 	100,00	104,5999807
MAYIS	29.05.2024		 200 	 310 	110,00	113,2528265
HAZİRAN	29.06.2024		 310 	 736 	426,00	432,2765188
TEMMUZ	27.07.2024		 736 	 740 	4,00	4,0140198
AĞUSTOS	29.08.2024		 740 	 744 	4,00	4,0051117
