Date,Anomaly_Error
5,0.254788339138031
6,0.26799842715263367
7,0.3037497103214264
8,0.21952079886045212
9,0.17277001477404183
10,0.24150347580080447
11,0.1347684593769486
12,0.17239125895260968
14,0.1241068936709975
16,0.4085909666092765
17,0.20717266201972961
18,0.21159513294696808
19,0.23388342559337616
21,0.7073192000389099
22,0.3185961417264098
24,0.14191466782536927
25,0.8092043863291725
26,0.7215191772417346
27,0.11393338389520263
28,0.19848088297988792
29,0.11094692508080599
30,0.13752028346061707
